Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Shahrukh_movie
2,4.9,3,1.4,0.2,Shahrukh_movie
3,4.7,3.2,1.3,0.2,Shahrukh_movie
4,4.6,3.1,1.5,0.2,Shahrukh_movie
5,5,3.6,1.4,0.2,Shahrukh_movie
6,5.4,3.9,1.7,0.4,Shahrukh_movie
7,4.6,3.4,1.4,0.3,Shahrukh_movie
8,5,3.4,1.5,0.2,Shahrukh_movie
9,4.4,2.9,1.4,0.2,Shahrukh_movie
10,4.9,3.1,1.5,0.1,Shahrukh_movie
11,5.4,3.7,1.5,0.2,Shahrukh_movie
12,4.8,3.4,1.6,0.2,Shahrukh_movie
13,4.8,3,1.4,0.1,Shahrukh_movie
14,4.3,3,1.1,0.1,Shahrukh_movie
15,5.8,4,1.2,0.2,Shahrukh_movie
16,5.7,4.4,1.5,0.4,Shahrukh_movie
17,5.4,3.9,1.3,0.4,Shahrukh_movie
18,5.1,3.5,1.4,0.3,Shahrukh_movie
19,5.7,3.8,1.7,0.3,Shahrukh_movie
20,5.1,3.8,1.5,0.3,Shahrukh_movie
21,5.4,3.4,1.7,0.2,Shahrukh_movie
22,5.1,3.7,1.5,0.4,Shahrukh_movie
23,4.6,3.6,1,0.2,Shahrukh_movie
24,5.1,3.3,1.7,0.5,Shahrukh_movie
25,4.8,3.4,1.9,0.2,Shahrukh_movie
26,5,3,1.6,0.2,Shahrukh_movie
27,5,3.4,1.6,0.4,Shahrukh_movie
28,5.2,3.5,1.5,0.2,Shahrukh_movie
29,5.2,3.4,1.4,0.2,Shahrukh_movie
30,4.7,3.2,1.6,0.2,Shahrukh_movie
31,4.8,3.1,1.6,0.2,Shahrukh_movie
32,5.4,3.4,1.5,0.4,Shahrukh_movie
33,5.2,4.1,1.5,0.1,Shahrukh_movie
34,5.5,4.2,1.4,0.2,Shahrukh_movie
35,4.9,3.1,1.5,0.1,Shahrukh_movie
36,5,3.2,1.2,0.2,Shahrukh_movie
37,5.5,3.5,1.3,0.2,Shahrukh_movie
38,4.9,3.1,1.5,0.1,Shahrukh_movie
39,4.4,3,1.3,0.2,Shahrukh_movie
40,5.1,3.4,1.5,0.2,Shahrukh_movie
41,5,3.5,1.3,0.3,Shahrukh_movie
42,4.5,2.3,1.3,0.3,Shahrukh_movie
43,4.4,3.2,1.3,0.2,Shahrukh_movie
44,5,3.5,1.6,0.6,Shahrukh_movie
45,5.1,3.8,1.9,0.4,Shahrukh_movie
46,4.8,3,1.4,0.3,Shahrukh_movie
47,5.1,3.8,1.6,0.2,Shahrukh_movie
48,4.6,3.2,1.4,0.2,Shahrukh_movie
49,5.3,3.7,1.5,0.2,Shahrukh_movie
50,5,3.3,1.4,0.2,Shahrukh_movie
51,7,3.2,4.7,1.4,vidya_balan_movie
52,6.4,3.2,4.5,1.5,vidya_balan_movie
53,6.9,3.1,4.9,1.5,vidya_balan_movie
54,5.5,2.3,4,1.3,vidya_balan_movie
55,6.5,2.8,4.6,1.5,vidya_balan_movie
56,5.7,2.8,4.5,1.3,vidya_balan_movie
57,6.3,3.3,4.7,1.6,vidya_balan_movie
58,4.9,2.4,3.3,1,vidya_balan_movie
59,6.6,2.9,4.6,1.3,vidya_balan_movie
60,5.2,2.7,3.9,1.4,vidya_balan_movie
61,5,2,3.5,1,vidya_balan_movie
